"" "reference" "size" "megan.taxonomy" "classification" "identity" "OTU_A" "OTU_B" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
"ITA87PB02EIZG6" "A227" "ITA87PB02EIZG6" "7" " Not assigned; 100;" "match" "99.5" "OTU_1" "0" "Fungi" "-200.324903090482" "Basidiomycota" "-97.9125467100759" "Tremellomycetes" "-97.9125467100759" "Tremellales" "-97.9125467100759" "Sirobasidiaceae" "-97.9125467100759" "Sirobasidium" "-43.9722603182011" "Tremellaceae" "-75.9853080688035"
"ITA87PB02DBFM6" "A227" "ITA87PB02DBFM6" "7" " Not assigned; 100;" "match" "100.0" "OTU_1" "0" "Fungi" "-200.324903090482" "Basidiomycota" "-97.9125467100759" "Tremellomycetes" "-97.9125467100759" "Tremellales" "-97.9125467100759" "Sirobasidiaceae" "-97.9125467100759" "Sirobasidium" "-43.9722603182011" "Tremellaceae" "-75.9853080688035"
"ITA87PB02EOWVH" "A227" "ITA87PB02EOWVH" "7" " Not assigned; 100;" "match" "99.5" "OTU_1" "0" "Fungi" "-200.324903090482" "Basidiomycota" "-97.9125467100759" "Tremellomycetes" "-97.9125467100759" "Tremellales" "-97.9125467100759" "Sirobasidiaceae" "-97.9125467100759" "Sirobasidium" "-43.9722603182011" "Tremellaceae" "-75.9853080688035"
"ITA87PB02C98R0" "A227" "ITA87PB02C98R0" "7" " Not assigned; 100;" "match" "100.0" "OTU_1" "0" "Fungi" "-200.324903090482" "Basidiomycota" "-97.9125467100759" "Tremellomycetes" "-97.9125467100759" "Tremellales" "-97.9125467100759" "Sirobasidiaceae" "-97.9125467100759" "Sirobasidium" "-43.9722603182011" "Tremellaceae" "-75.9853080688035"
"ITA87PB02CZ1GG" "A194" "ITA87PB02CZ1GG" "7" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; saccharomyceta; 100; Pezizomycotina; 100; leotiomyceta; 100; Lecanoromycetes; 100; OSLEUM clade; 100; Lecanoromycetidae; 100; Rhizocarpales; 100; Rhizocarpaceae; 100; Rhizocarpon; 100; Rhizocarpon geographicum; 50;" "match" "99.6" "OTU_8" "0" "Fungi" "-248.679190043357" "Ascomycota" "-248.679190043357" "Lecanoromycetes" "-248.679190043357" "Rhizocarpales" "-248.679190043357" "Rhizocarpaceae" "-248.679190043357" "Rhizocarpon" "-248.679190043357" "Rhizocarpon" "-248.679190043357"
"ITA87PB02DBRJ4" "A194" "ITA87PB02DBRJ4" "7" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; saccharomyceta; 100; Pezizomycotina; 100; leotiomyceta; 100; Eurotiomycetes; 100; Chaetothyriomycetidae; 100; Verrucariales; 100; Verrucariaceae; 100; Bagliettoa; 50; Bagliettoa marmorea; 50;" "match" "98.5" "OTU_17" "0" "Fungi" "-128.251618027107" "Ascomycota" "-124.444955537336" "Eurotiomycetes" "-124.444955537336" "Chaetothyriales" "-124.444955537336" "Herpotrichiellaceae" "-124.444955537336" "Placopyrenium" "-117.942665366462" "Chaetothyriales/Herpotrichiellaceae" "-124.444955537336"
"ITA87PB02D606G" "A194" "ITA87PB02D606G" "7" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; saccharomyceta; 100; Pezizomycotina; 100; leotiomyceta; 100; Eurotiomycetes; 100; Chaetothyriomycetidae; 100; Verrucariales; 100; Verrucariaceae; 100; Bagliettoa; 100; Bagliettoa marmorea; 100;" "match" "99.6" "OTU_17" "0" "Fungi" "-128.251618027107" "Ascomycota" "-124.444955537336" "Eurotiomycetes" "-124.444955537336" "Chaetothyriales" "-124.444955537336" "Herpotrichiellaceae" "-124.444955537336" "Placopyrenium" "-117.942665366462" "Chaetothyriales/Herpotrichiellaceae" "-124.444955537336"
"ITA87PB02DYKC8" "A194" "ITA87PB02DYKC8" "7" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; saccharomyceta; 100; Pezizomycotina; 100; leotiomyceta; 100; Lecanoromycetes; 100; OSLEUM clade; 100; Lecanoromycetidae; 100; Rhizocarpales; 100; Rhizocarpaceae; 100; Rhizocarpon; 100; Rhizocarpon geographicum; 50;" "match" "98.9" "OTU_8" "0" "Fungi" "-248.679190043357" "Ascomycota" "-248.679190043357" "Lecanoromycetes" "-248.679190043357" "Rhizocarpales" "-248.679190043357" "Rhizocarpaceae" "-248.679190043357" "Rhizocarpon" "-248.679190043357" "Rhizocarpon" "-248.679190043357"
"ITA87PB02EP4PM" "A194" "ITA87PB02EP4PM" "7" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; saccharomyceta; 100; Pezizomycotina; 100; leotiomyceta; 100; Eurotiomycetes; 100; Chaetothyriomycetidae; 100; Verrucariales; 100; Verrucariaceae; 100; Bagliettoa; 100; Bagliettoa marmorea; 100;" "match" "99.6" "OTU_17" "0" "Fungi" "-128.251618027107" "Ascomycota" "-124.444955537336" "Eurotiomycetes" "-124.444955537336" "Chaetothyriales" "-124.444955537336" "Herpotrichiellaceae" "-124.444955537336" "Placopyrenium" "-117.942665366462" "Chaetothyriales/Herpotrichiellaceae" "-124.444955537336"
"ITA87PB02DTW8L" "A194" "ITA87PB02DTW8L" "7" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Basidiomycota; 100; Agaricomycotina; 100; Tremellomycetes; 100; Tremellales; 100; Sirobasidiaceae; 100; Fibulobasidium; 100;" "match" "100.0" "OTU_7" "0" "Fungi" "-135.159373306089" "Basidiomycota" "-135.159373306089" "Tremellomycetes" "-135.159373306089" "Tremellales" "-135.159373306089" "Sirobasidiaceae" "-135.159373306089" "Cryptococcus" "-82.1999161672257" "Tremellomycetes" "-86.3996212451056"
"ITA87PB02D9V1V" "A194" "ITA87PB02D9V1V" "7" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; saccharomyceta; 100; Pezizomycotina; 100; leotiomyceta; 100; Eurotiomycetes; 100; Chaetothyriomycetidae; 100; Verrucariales; 100; Verrucariaceae; 100; Bagliettoa; 100; Bagliettoa marmorea; 100;" "match" "99.6" "OTU_17" "0" "Fungi" "-128.251618027107" "Ascomycota" "-124.444955537336" "Eurotiomycetes" "-124.444955537336" "Chaetothyriales" "-124.444955537336" "Herpotrichiellaceae" "-124.444955537336" "Placopyrenium" "-117.942665366462" "Chaetothyriales/Herpotrichiellaceae" "-124.444955537336"
"ITA87PB02EP0C0" "A138" "ITA87PB02EP0C0" "7" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; saccharomyceta; 100; Pezizomycotina; 100; leotiomyceta; 100; Lecanoromycetes; 100; Lecanoromycetes incertae sedis; 100; Candelariales; 100; Candelariaceae; 100; Candelaria; 100; Candelaria sp. Hur ANT050743; 100;" "match" "99.4" "OTU_71" "0" "Fungi" "-159.571518597149" "Ascomycota" "-159.571518597149" "Lecanoromycetes" "-159.571518597149" "Candelariales" "-159.571518597149" "Candelariaceae" "-159.571518597149" "Candelaria" "-159.571518597149" "Candelaria" "-159.571518597149"
"ITA87PB02C80BU" "A138" "ITA87PB02C80BU" "7" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; saccharomyceta; 100; Pezizomycotina; 100; leotiomyceta; 100; Eurotiomycetes; 100; Chaetothyriomycetidae; 100; Chaetothyriales; 100; unclassified Chaetothyriales; 100; Chaetothyriales sp. 16708; 100;" "match" "98.6" "OTU_23" "0" "Fungi" "-331.795396942457" "Ascomycota" "-327.883373937029" "Eurotiomycetes" "-327.883373937029" "Chaetothyriales" "-327.883373937029" "Herpotrichiellaceae" "-327.883373937029" "Cladophialophora" "-327.883373937029" "Cladophialophora" "-327.883373937029"
"ITA87PB02DRHFI" "A138" "ITA87PB02DRHFI" "7" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; saccharomyceta; 100; Pezizomycotina; 100; leotiomyceta; 100; Lecanoromycetes; 100; Lecanoromycetes incertae sedis; 100; Candelariales; 100; Candelariaceae; 100; Candelaria; 100; Candelaria sp. Hur ANT050743; 100;" "match" "99.6" "OTU_24" "0" "Fungi" "-283.217966438268" "Ascomycota" "-283.217966438268" "Lecanoromycetes" "-283.217966438268" "Candelariales" "-283.217966438268" "Candelariaceae" "-283.217966438268" "Candelaria" "-283.217966438268" "Candelaria" "-283.217966438268"
"ITA87PB02DWST5" "A138" "ITA87PB02DWST5" "7" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; saccharomyceta; 100; Pezizomycotina; 100; leotiomyceta; 100; Lecanoromycetes; 100; Lecanoromycetes incertae sedis; 100; Candelariales; 100; Candelariaceae; 100; Candelaria; 100; Candelaria sp. Hur ANT050743; 100;" "match" "98.9" "OTU_24" "0" "Fungi" "-283.217966438268" "Ascomycota" "-283.217966438268" "Lecanoromycetes" "-283.217966438268" "Candelariales" "-283.217966438268" "Candelariaceae" "-283.217966438268" "Candelaria" "-283.217966438268" "Candelaria" "-283.217966438268"
"ITA87PB02D2TQK" "A032" "ITA87PB02D2TQK" "7" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; saccharomyceta; 100; Pezizomycotina; 100; leotiomyceta; 100; Lecanoromycetes; 100; OSLEUM clade; 100; Umbilicariomycetidae; 100; Umbilicariales; 100; Umbilicariaceae; 100; Umbilicaria; 100; Umbilicaria cf. umbilicarioides KRAM:L:53303; 100;" "match" "99.2" "OTU_42" "0" "Fungi" "-226.857311917742" "Ascomycota" "-226.857311917742" "Lecanoromycetes" "-226.857311917742" "Umbilicariales" "-226.857311917742" "Umbilicariaceae" "-226.857311917742" "Umbilicaria" "-226.857311917742" "Umbilicaria" "-226.857311917742"
"ITA87PB02D6K78" "A032" "ITA87PB02D6K78" "7" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; saccharomyceta; 100; Pezizomycotina; 100; leotiomyceta; 100; Lecanoromycetes; 100; OSLEUM clade; 100; Umbilicariomycetidae; 100; Umbilicariales; 100; Umbilicariaceae; 100; Umbilicaria; 100; Umbilicaria cf. umbilicarioides KRAM:L:53303; 100;" "match" "100.0" "OTU_42" "0" "Fungi" "-226.857311917742" "Ascomycota" "-226.857311917742" "Lecanoromycetes" "-226.857311917742" "Umbilicariales" "-226.857311917742" "Umbilicariaceae" "-226.857311917742" "Umbilicaria" "-226.857311917742" "Umbilicaria" "-226.857311917742"
"ITA87PB02EUOVI" "A032" "ITA87PB02EUOVI" "7" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100;" "match" "97.4" "OTU_93" "0" "Fungi" "-248.784550559015" "Ascomycota" "-248.784550559015" "Dothideomycetes" "-248.784550559015" "Pleosporales" "-201.528875894808" "Sporormiaceae" "-197.329170816928" "Sporormiella" "-197.329170816928" "Dothideomycetes" "-248.784550559015"
"ITA87PB02DAD5B" "A032" "ITA87PB02DAD5B" "7" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100;" "match" "99.6" "OTU_19" "0" "Fungi" "-333.181691303577" "Ascomycota" "-327.883373937029" "Dothideomycetes" "-279.305943432839" "Botryosphaeriales" "-279.305943432839" "Dermateaceae" "-130.554203120101" "Cyphellophora" "-93.7128416321959" "Botryosphaeriales" "-279.305943432839"
"ITA87PB02DXICE" "A032" "ITA87PB02DXICE" "7" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; saccharomyceta; 100; Pezizomycotina; 100; leotiomyceta; 100; Lecanoromycetes; 100; OSLEUM clade; 100; Umbilicariomycetidae; 100; Umbilicariales; 100; Umbilicariaceae; 100; Umbilicaria; 100; Umbilicaria cf. umbilicarioides KRAM:L:53303; 100;" "match" "100.0" "OTU_42" "0" "Fungi" "-226.857311917742" "Ascomycota" "-226.857311917742" "Lecanoromycetes" "-226.857311917742" "Umbilicariales" "-226.857311917742" "Umbilicariaceae" "-226.857311917742" "Umbilicaria" "-226.857311917742" "Umbilicaria" "-226.857311917742"
"ITA87PB02DSSOK" "A032" "ITA87PB02DSSOK" "7" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; saccharomyceta; 100; Pezizomycotina; 100; leotiomyceta; 100; Lecanoromycetes; 100; OSLEUM clade; 100; Lecanoromycetidae; 100; Rhizocarpales; 100; Rhizocarpaceae; 100; Rhizocarpon; 100; Rhizocarpon geographicum; 50;" "match" "100.0" "OTU_8" "0" "Fungi" "-248.679190043357" "Ascomycota" "-248.679190043357" "Lecanoromycetes" "-248.679190043357" "Rhizocarpales" "-248.679190043357" "Rhizocarpaceae" "-248.679190043357" "Rhizocarpon" "-248.679190043357" "Rhizocarpon" "-248.679190043357"
"ITA87PB02DEM4G" "A032" "ITA87PB02DEM4G" "7" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 50; Fungi; 50; Dikarya; 50; Ascomycota; 50;" "otu" "95.0" "OTU_99" "OTU_92" "Fungi" "-282.1193541496" "Ascomycota" "-282.1193541496" "Dothideomycetes" "-282.1193541496" "Capnodiales" "-282.1193541496" "Mycosphaerellaceae" "-212.754119287326" "Phaeothecoidea" "-212.754119287326" "Capnodiales" "-282.1193541496"
"ITA87PB02DRTHI" "A032" "ITA87PB02DRTHI" "7" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; saccharomyceta; 100; Pezizomycotina; 100; leotiomyceta; 100; Lecanoromycetes; 100; OSLEUM clade; 100; Umbilicariomycetidae; 100; Umbilicariales; 100; Umbilicariaceae; 100; Umbilicaria; 100; Umbilicaria cf. umbilicarioides KRAM:L:53303; 100;" "match" "100.0" "OTU_42" "0" "Fungi" "-226.857311917742" "Ascomycota" "-226.857311917742" "Lecanoromycetes" "-226.857311917742" "Umbilicariales" "-226.857311917742" "Umbilicariaceae" "-226.857311917742" "Umbilicaria" "-226.857311917742" "Umbilicaria" "-226.857311917742"
"ITA87PB02ECASQ" "A032" "ITA87PB02ECASQ" "7" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; saccharomyceta; 100; Pezizomycotina; 100; leotiomyceta; 100; Lecanoromycetes; 100; OSLEUM clade; 100; Lecanoromycetidae; 100; Lecanorales; 100; Lecanorineae; 50; Micareaceae; 50; Micarea; 50; Micarea doliiformis; 50;" "match" "99.1" "OTU_38" "0" "Fungi" "-344.289151660439" "Ascomycota" "-125.543567826004" "Lecanoromycetes" "-125.543567826004" "Lecanorales" "-125.543567826004" "Byssolomataceae" "-125.543567826004" "Micarea" "-125.543567826004" "Micarea" "-125.543567826004"
"ITA87PB02EIWM0" "A032" "ITA87PB02EIWM0" "7" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; saccharomyceta; 50; Pezizomycotina; 50; leotiomyceta; 50; sordariomyceta; 50; Leotiomycetes; 50; Rhytismatales; 50; Rhytismataceae; 50; mitosporic Rhytismataceae; 50; Meria; 50; Meria laricis; 50;" "otu" "77.2" "OTU_100" "OTU_90" "Fungi" "-231.867947211839" "Ascomycota" "-231.867947211839" "Leotiomycetes" "-228.312599150349" "Helotiales" "-228.312599150349" "Hemiphacidiaceae" "-228.312599150349" "Meria" "-228.312599150349" "Meria" "-228.312599150349"
"ITA87PB02C1DY4" "A032" "ITA87PB02C1DY4" "7" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; saccharomyceta; 100; Pezizomycotina; 100; leotiomyceta; 100; Lecanoromycetes; 100; OSLEUM clade; 100; Umbilicariomycetidae; 100; Umbilicariales; 100; Umbilicariaceae; 100; Umbilicaria; 100; Umbilicaria cf. umbilicarioides KRAM:L:53303; 100;" "match" "100.0" "OTU_42" "0" "Fungi" "-226.857311917742" "Ascomycota" "-226.857311917742" "Lecanoromycetes" "-226.857311917742" "Umbilicariales" "-226.857311917742" "Umbilicariaceae" "-226.857311917742" "Umbilicaria" "-226.857311917742" "Umbilicaria" "-226.857311917742"
"ITA87PB02EPUP9" "A032" "ITA87PB02EPUP9" "7" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; saccharomyceta; 100; Pezizomycotina; 100; leotiomyceta; 100; Lecanoromycetes; 100; OSLEUM clade; 100; Umbilicariomycetidae; 100; Umbilicariales; 100; Umbilicariaceae; 100; Umbilicaria; 100; Umbilicaria cf. umbilicarioides KRAM:L:53303; 100;" "match" "100.0" "OTU_42" "0" "Fungi" "-226.857311917742" "Ascomycota" "-226.857311917742" "Lecanoromycetes" "-226.857311917742" "Umbilicariales" "-226.857311917742" "Umbilicariaceae" "-226.857311917742" "Umbilicaria" "-226.857311917742" "Umbilicaria" "-226.857311917742"
"ITA87PB02C81K1" "A032" "ITA87PB02C81K1" "7" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; saccharomyceta; 100; Pezizomycotina; 100; leotiomyceta; 100; Eurotiomycetes; 100; Chaetothyriomycetidae; 100; Chaetothyriales; 100; unclassified Chaetothyriales; 100; Chaetothyriales sp. 16708; 100;" "match" "99.3" "OTU_23" "0" "Fungi" "-331.795396942457" "Ascomycota" "-327.883373937029" "Eurotiomycetes" "-327.883373937029" "Chaetothyriales" "-327.883373937029" "Herpotrichiellaceae" "-327.883373937029" "Cladophialophora" "-327.883373937029" "Cladophialophora" "-327.883373937029"
"ITA87PB02DUKSH" "A032" "ITA87PB02DUKSH" "7" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; saccharomyceta; 100; Pezizomycotina; 100; leotiomyceta; 100; dothideomyceta; 100; Dothideomycetes; 100; Dothideomycetes incertae sedis; 100; Pseudoperisporiaceae; 100; Bryochiton; 100; Bryochiton monascus; 100;" "otu" "88.4" "OTU_101" "OTU_44" "Fungi" "-259.093503219659" "Ascomycota" "-259.093503219659" "Dothideomycetes" "-259.093503219659" "Capnodiales" "-238.370237382713" "Teratosphaeriaceae" "-238.370237382713" "Penidiella" "-238.370237382713" "Penidiella" "-238.370237382713"
"ITA87PB02D0DTE" "A032" "ITA87PB02D0DTE" "7" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; mitosporic Ascomycota; 100; Phaeotheca; 100; Phaeotheca fissurella; 100;" "otu" "*" "OTU_102" "0" "Fungi" "-236.067652289719" "Ascomycota" "-236.067652289719" "Dothideomycetes" "-180.805610057861" "Capnodiales" "-180.805610057861" "Capnodiaceae" "-143.964248569957" "Leptoxyphium" "-143.964248569957" "Ascomycota" "-161.691782133349"
"ITA87PB02EWGD8" "A032" "ITA87PB02EWGD8" "7" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100;" "otu" "*" "OTU_103" "0" "Fungi" "-261.396088312653" "Ascomycota" "-261.396088312653" "Dothideomycetes" "-261.396088312653" "Pleosporales" "-211.837828555452" "Sporormiaceae" "-210.451534194332" "Sporormiella" "-210.451534194332" "Dothideomycetes" "-261.396088312653"
"ITA87PB02C00VV" "A832" "ITA87PB02C00VV" "6" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; saccharomyceta; 100; Pezizomycotina; 100; leotiomyceta; 100; Lecanoromycetes; 100; OSLEUM clade; 100; Lecanoromycetidae; 100; Lecanorales; 100; Lecanorineae; 100; Lecanoraceae; 100; Lecanora; 100; Lecanora rupicola; 83;" "otu" "*" "OTU_104" "0" "Fungi" "-300.94550000166" "Ascomycota" "-300.94550000166" "Lecanoromycetes" "-300.94550000166" "Lecanorales" "-300.94550000166" "Lecanoraceae" "-300.94550000166" "Lecanora" "-300.94550000166" "Lecanora" "-300.94550000166"
"ITA87PB02DBNL7" "A832" "ITA87PB02DBNL7" "6" " Not assigned; 100;" "otu" "*" "OTU_105" "0" "Fungi" "-188.811977625512" "Basidiomycota" "-95.32227954463" "Tremellomycetes" "-95.32227954463" "Tremellales" "-95.32227954463" "Sirobasidiaceae" "-93.7128416321959" "Metschnikowia" "-50.656872045869" "Tremellomycetes" "-78.5110367131118"
"ITA87PB02DBFHE" "A832" "ITA87PB02DBFHE" "6" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; saccharomyceta; 100; Pezizomycotina; 100; leotiomyceta; 100; Lecanoromycetes; 100; OSLEUM clade; 100; Lecanoromycetidae; 100; Lecanorales; 100; Lecanorineae; 100; Lecanoraceae; 100; Lecanora; 100; Lecanora rupicola; 83;" "otu" "*" "OTU_106" "0" "Fungi" "-297.13883751189" "Ascomycota" "-297.13883751189" "Lecanoromycetes" "-297.13883751189" "Lecanorales" "-297.13883751189" "Lecanoraceae" "-297.13883751189" "Lecanora" "-297.13883751189" "Lecanora" "-297.13883751189"
"ITA87PB02DA93O" "A809" "ITA87PB02DA93O" "6" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; saccharomyceta; 100; Pezizomycotina; 100; leotiomyceta; 100; Lecanoromycetes; 100; OSLEUM clade; 100; Lecanoromycetidae; 100; Lecanorales; 100; Lecanorineae; 100; Tephromelataceae; 100; Tephromela; 100; Tephromela atra; 100;" "otu" "*" "OTU_107" "0" "Fungi" "-323.971350931601" "Ascomycota" "-323.971350931601" "Lecanoromycetes" "-323.971350931601" "Lecanorales" "-323.971350931601" "Tephromelataceae" "-323.971350931601" "Tephromela" "-323.971350931601" "Tephromela" "-323.971350931601"
"ITA87PB02DHII1" "A809" "ITA87PB02DHII1" "6" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100;" "otu" "*" "OTU_108" "0" "Fungi" "-269.402455880303" "Ascomycota" "-269.402455880303" "Dothideomycetes" "-269.402455880303" "Capnodiales" "-252.591213048785" "Teratosphaeriaceae" "-225.653339113416" "Penidiella" "-225.653339113416" "Dothideomycetes" "-256.280092502899"
"ITA87PB02CZPLO" "A809" "ITA87PB02CZPLO" "6" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; saccharomyceta; 100; Pezizomycotina; 100; leotiomyceta; 100; Lecanoromycetes; 100; OSLEUM clade; 100; Lecanoromycetidae; 100; Lecanorales; 100; Lecanorineae; 100; Tephromelataceae; 100; Tephromela; 100; Tephromela atra; 100;" "otu" "*" "OTU_109" "0" "Fungi" "-308.546402461202" "Ascomycota" "-308.546402461202" "Lecanoromycetes" "-308.546402461202" "Lecanorales" "-308.546402461202" "Tephromelataceae" "-308.546402461202" "Tephromela" "-308.546402461202" "Tephromela" "-308.546402461202"
"ITA87PB02EWCBO" "A809" "ITA87PB02EWCBO" "6" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; unclassified Ascomycota; 25; Ascomycota sp. AR-2010; 25;" "otu" "*" "OTU_110" "0" "Fungi" "-268.016161519183" "Ascomycota" "-268.016161519183" "Dothideomycetes" "-268.016161519183" "Capnodiales" "-243.380872676809" "Teratosphaeriaceae" "-224.267044752297" "Penidiella" "-224.267044752297" "Dothideomycetes" "-251.204918687665"
"ITA87PB02C367C" "A809" "ITA87PB02C367C" "6" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; saccharomyceta; 100; Pezizomycotina; 100; leotiomyceta; 100; Lecanoromycetes; 100; OSLEUM clade; 100; Lecanoromycetidae; 100; Lecanorales; 100; Lecanorineae; 100; Tephromelataceae; 100; Tephromela; 100; Tephromela atra; 100;" "otu" "*" "OTU_111" "0" "Fungi" "-343.085178856113" "Ascomycota" "-343.085178856113" "Lecanoromycetes" "-343.085178856113" "Lecanorales" "-343.085178856113" "Tephromelataceae" "-343.085178856113" "Tephromela" "-343.085178856113" "Tephromela" "-343.085178856113"
"ITA87PB02ELA6C" "A809" "ITA87PB02ELA6C" "6" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; unclassified Ascomycota; 25; Ascomycota sp. AR-2010; 25;" "otu" "*" "OTU_112" "0" "Fungi" "-267.793017967869" "Ascomycota" "-267.793017967869" "Dothideomycetes" "-267.793017967869" "Capnodiales" "-239.691993222695" "Teratosphaeriaceae" "-220.355021746868" "Penidiella" "-220.355021746868" "Dothideomycetes" "-247.292895682237"
"ITA87PB02C9SQA" "A809" "ITA87PB02C9SQA" "6" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Basidiomycota; 100; Agaricomycotina; 100; Tremellomycetes; 100; Tremellales; 100; Sirobasidiaceae; 100; Fibulobasidium; 100;" "otu" "*" "OTU_113" "0" "Fungi" "-135.159373306089" "Basidiomycota" "-135.159373306089" "Tremellomycetes" "-135.159373306089" "Tremellales" "-135.159373306089" "Sirobasidiaceae" "-135.159373306089" "Cryptococcus" "-82.1999161672257" "Tremellomycetes" "-90.1574935707065"
"ITA87PB02DAK4M" "A809" "ITA87PB02DAK4M" "6" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100;" "otu" "*" "OTU_114" "0" "Fungi" "-298.642914908666" "Ascomycota" "-298.642914908666" "Dothideomycetes" "-298.642914908666" "Capnodiales" "-266.406723606749" "Teratosphaeriaceae" "-254.893798141779" "Penidiella" "-254.893798141779" "Dothideomycetes" "-281.831672077148"
"ITA87PB02ET76D" "A809" "ITA87PB02ET76D" "6" " root; 100; cellular organisms; 100; Eukaryota; 100; Opisthokonta; 100; Fungi; 100; Dikarya; 100; Ascomycota; 100; unclassified Ascomycota; 25; Ascomycota sp. AR-2010; 25;" "otu" "*" "OTU_115" "0" "Fungi" "-266.406723606749" "Ascomycota" "-266.406723606749" "Dothideomycetes" "-266.406723606749" "Capnodiales" "-242.282260388141" "Teratosphaeriaceae" "-223.350754020422" "Penidiella" "-223.350754020422" "Dothideomycetes" "-249.883162847683"
